SegmentIndex,StraightLineDistance,HeadingProxyDeg,TimeTranslating,TimeRotating,TimeConverging,TimeReplanning,ModelTranslation,ModelRotation,ModelFixedOverhead,MeasuredOverhead
S1,9.7516,0.0,37.6946,3.4878,4.0668999999999995,0.0087,50.544380335969834,0.0,-2.013379163262318,4.0756
S10,4.0,21.8,14.8274,0.0109,4.806,0.0036999999999999997,20.73275373722049,0.7028709165903717,-2.013379163262318,4.8097
S2,4.7,92.35,15.0428,3.2725999999999997,4.0268,0.0038,24.360985641234077,2.9775288599596705,-2.013379163262318,4.0306
S3,2.417,155.6,6.521299999999999,3.8592,4.326099999999999,0.001,12.52776644571548,5.016821771626689,-2.013379163262318,4.3271
S4,5.852,85.5,22.571,5.5201,4.5516,0.010499999999999999,30.33201871755358,2.7566726315815036,-2.013379163262318,4.5621
S5,2.5,20.0,7.391299999999999,0.5115000000000001,4.3698999999999995,0.0013000000000000002,12.957971085762807,0.6448357032939189,-2.013379163262318,4.371199999999999
S6,9.849,156.0,39.8405,8.187100000000001,3.4496,4.461,51.04922288947115,5.029718485692568,-2.013379163262318,7.9106000000000005
S7,4.0,114.0,13.0695,3.3566000000000003,4.1387,0.0023,20.73275373722049,3.6755635087753378,-2.013379163262318,4.141
S8,2.236,153.4,5.683400000000001,4.0751,4.5581000000000005,0.0008,11.589609339106255,4.945889844264358,-2.013379163262318,4.5589
S9,5.385,41.6,26.2957,1.8587,3.8217999999999996,0.0106,27.911469718733084,1.3412582628513514,-2.013379163262318,3.8324
