SegmentIndex,n,StraightLineDistance,PlannedPathLengthM,ExecutedPathLength_mean,ExecutedPathLength_sd,HeadingProxyDeg,IntegratedAbsYawDeg_mean,IntegratedAbsYawDeg_sd,MinClearanceRadius,TotalSegmentTime_mean,TotalSegmentTime_sd,TimeRotating_mean,TimeTranslating_mean,TimeConverging_mean,TimeReplanning_mean
S1,10,9.7516,9.952,9.764199999999999,0.20529859013425067,0.0,258.15,95.04077779797703,0.0,45.257999999999996,4.5761317968588076,3.4878,37.6946,4.0668999999999995,0.0087
S2,10,4.7,4.656000000000001,4.3149999999999995,0.10639131125759782,92.35,177.28,63.94158445192162,3.0,22.346,3.01571878294011,3.2725999999999997,15.0428,4.0268,0.0038
S3,10,2.417,2.226,2.117,0.3322866901403733,155.6,204.64000000000001,9.992130236674592,3.0,14.7076,1.2908006301000423,3.8592,6.521299999999999,4.326099999999999,0.001
S4,10,5.852,6.274,5.860799999999999,0.17901694519420996,85.5,320.83000000000004,77.07019960183486,0.0,32.6532,2.946964683270644,5.5201,22.571,4.5516,0.010499999999999999
S5,10,2.5,2.4880000000000004,2.4227,0.05161405923884599,20.0,57.92,17.373338449730635,4.0,12.274,1.0933736781174133,0.5115000000000001,7.391299999999999,4.3698999999999995,0.0013000000000000002
S6,10,9.849,11.078,10.5823,0.35092324263608216,156.0,556.4100000000001,180.42173095278739,0.0,55.93820000000001,5.740321202782221,8.187100000000001,39.8405,3.4496,4.461
S7,10,4.0,3.9199999999999995,3.7298,0.18192904599809714,114.0,180.75,17.971041520550045,2.7,20.5671,3.1350566342571873,3.3566000000000003,13.0695,4.1387,0.0023
S8,10,2.236,2.0460000000000003,1.8993000000000002,0.2799150863307576,153.4,203.45,18.851893509376946,3.0,14.317400000000001,2.1608218703899578,4.0751,5.683400000000001,4.5581000000000005,0.0008
S9,10,5.385,6.9159999999999995,6.3907,0.11685608432787946,41.6,287.36,187.92666536592287,0.0,31.9868,2.585288069055361,1.8587,26.2957,3.8217999999999996,0.0106
S10,10,4.0,4.220000000000001,4.001399999999999,0.050405467075616876,21.8,42.089999999999996,2.8536331618170894,0.6,19.648,1.8049107087794325,0.0109,14.8274,4.806,0.0036999999999999997
