ArrivalTolerance_m,N_executions,Mission_s_mean,Mission_s_sd,Converging_s_mean,Converging_s_sd,Rotating_s_mean,Translating_s_mean,Replanning_s_mean
0.03,12,260.3370833333334,14.724009517286763,41.67208333333334,1.5463996577583519,22.773500000000002,195.6165,0.27499999999999997
0.05,8,263.985,12.961690817834794,43.844625,3.3095036717869695,23.544125,196.59625000000003,0.0
0.08,5,237.05980000000005,7.8886731900871565,39.483799999999995,2.086816762439863,23.2166,174.3594,0.0
0.1,5,249.27980000000002,7.561137361534968,38.9328,2.1269690171697393,21.568,188.779,0.0
0.15,7,246.6065714285714,10.624438633909755,40.71528571428571,2.0118455635134027,19.98542857142857,185.90585714285717,0.0
