SegmentIndex,n,StraightLineDistance,PlannedPathLengthM,ExecutedPathLength_mean,ExecutedPathLength_sd,HeadingProxyDeg,IntegratedAbsYawDeg_mean,IntegratedAbsYawDeg_sd,MinClearanceRadius,TotalSegmentTime_mean,TotalSegmentTime_sd,TimeRotating_mean,TimeTranslating_mean,TimeConverging_mean,TimeReplanning_mean
S1,5,9.844,8.132,9.8612,0.16728628156546524,0.0,406.06,171.30286921123067,0.0,44.4606,4.255203908157633,2.5260000000000002,38.047000000000004,3.8876,0.0
S2,5,4.7,4.0,4.5649999999999995,0.06378871373526815,92.92,121.4,8.346256645946129,3.0,22.751600000000003,2.2656645382756917,1.6952000000000003,17.0678,3.9885999999999995,0.0
S3,5,2.417,1.9279999999999997,2.3731999999999998,0.22516371821410303,155.6,330.65999999999997,322.378431350486,1.2,15.6744,1.8136873490213246,3.0126,7.8194,4.8424,0.0
S4,5,5.852,5.0760000000000005,6.0952,0.4254541103338878,85.5,271.28000000000003,77.30651330903497,0.0,31.555200000000003,3.9901565382826765,4.550199999999999,23.304,3.7009999999999996,0.0
S5,5,2.5,2.252,2.503,0.09143576980591352,20.0,1.98,0.31144823004794886,4.0,11.202,0.7156353820207607,0.0,7.177,4.025,0.0
S6,5,9.849,9.040000000000001,11.2108,0.12813937724212668,156.0,378.3,112.14920864633868,0.0,52.7812,3.991532374915678,3.4994,44.839600000000004,4.4422,0.0
S7,5,4.0,3.184,3.906,0.09177962736904069,114.0,200.28,9.637790203153413,3.0,21.410800000000002,2.163271180411739,3.8572,13.562999999999999,3.9905999999999997,0.0
S8,5,2.236,1.768,2.5294,0.4466646392988816,153.4,191.92000000000002,29.840777469764422,1.8,16.0382,2.0728415761943797,3.2198,8.1256,4.6928,0.0
S9,5,5.385,5.66,6.6828,0.05911598768522768,41.6,287.36,320.1176236947913,0.0,31.356399999999997,1.321986119443015,0.9506,25.8188,3.9269999999999996,0.6599999999999999
S10,5,4.0,3.492,4.0009999999999994,0.07992496481075245,21.8,0.74,0.13416407864998744,4.0,17.541,1.7353188467829166,0.0,13.767199999999999,3.7738,0.0
