Metric,DifferentialEmulated,Holonomic
N_executions,10.0,10.0
Mission_s_mean,262.41179999999997,201.90990000000002
Mission_s_sd,14.172105072210615,9.87198127643191
Rotating_s_mean,22.6873,0.0
Rotating_s_sd,4.070520524999775,0.0
Translating_s_mean,197.8135,162.84200000000004
Converging_s_mean,41.580999999999996,39.067899999999995
Replanning_s_mean,0.32999999999999996,0.0
Executed_m_mean,53.614999999999995,50.7568
