SegmentIndex,n,StraightLineDistance,PlannedPathLengthM,ExecutedPathLength_mean,ExecutedPathLength_sd,HeadingProxyDeg,IntegratedAbsYawDeg_mean,IntegratedAbsYawDeg_sd,MinClearanceRadius,TotalSegmentTime_mean,TotalSegmentTime_sd,TimeRotating_mean,TimeTranslating_mean,TimeConverging_mean,TimeReplanning_mean
S1,8,9.838000000000001,8.8475,9.85225,0.1534449645405715,0.0,400.975,152.52830884789878,0.0,44.478875,3.9876026251908008,2.57775,37.9995,3.901625,0.0
S2,8,4.7,4.3175,4.581125,0.07642818758248054,92.91250000000001,121.825,8.042520926745718,3.0,22.156750000000002,2.1555961555250294,1.698125,16.44725,4.011375,0.0
S3,8,2.417,2.0675,2.372875,0.1973643747705533,155.6,278.625,254.31686506628472,1.125,15.565375,1.6495415759277747,3.1,7.655375,4.8100000000000005,0.0
S4,8,5.852,5.4825,5.99875,0.3581008437377861,85.5,242.6375,71.15969841540527,0.0,30.458624999999998,3.386914353698025,3.992625,22.699875,3.766125,0.0
S5,8,2.5,2.46,2.51225,0.08492980294673615,20.0,1.975,0.3011881234615431,4.0,11.216,0.7051149855570671,0.0,7.40425,3.81175,0.0
S6,8,9.849,9.8325,11.247375,0.158995900665934,156.0,372.3625,113.95298450927659,0.0,52.9445,3.223313734120745,3.3325,44.898875000000004,4.713125,0.0
S7,8,4.0,3.4575,3.909375,0.11774419912917757,114.0,201.8875,7.628974374055792,2.625,21.2065,1.735973008348426,3.856875,13.381499999999999,3.968125,0.0
S8,8,2.236,1.8800000000000001,2.419,0.37440848586231895,153.4,231.2625,126.21894738339181,2.25,15.62875,1.6961397137533891,3.09275,7.76975,4.766249999999999,0.0
S9,8,5.385,6.1775,6.6895,0.06547627705621974,41.6,426.775,520.2516966403308,0.0,31.70225,1.139245332916237,0.951625,26.22675,4.111375,0.4125
S10,8,4.0,3.7425,3.9735,0.08850988645343516,21.8,0.9625,0.6300510183423925,4.0,17.547874999999998,1.3935031331657826,0.0,13.89375,3.654125,0.0
