SegmentIndex,StraightLineDistance,ExecutedPathLength,HeadingProxyDeg,IntegratedAbsYawDeg,DistanceRatio,YawRatio
S1,9.838000000000001,9.85225,0.0,400.975,1.00144846513519,
S10,4.0,3.9735,21.8,0.9625,0.993375,0.04415137614678899
S2,4.7,4.581125,92.91250000000001,121.825,0.9747074468085106,1.3111798735369298
S3,2.417,2.372875,155.6,278.625,0.9817438973934631,1.7906491002570695
S4,5.852,5.99875,85.5,242.6375,1.025076896787423,2.8378654970760233
S5,2.5,2.51225,20.0,1.975,1.0049,0.09875
S6,9.849,11.247375,156.0,372.3625,1.141981419433445,2.3869391025641025
S7,4.0,3.909375,114.0,201.8875,0.97734375,1.7709429824561402
S8,2.236,2.419,153.4,231.2625,1.0818425760286225,1.5075782268578877
S9,5.385,6.6895,41.6,426.775,1.242246982358403,10.259014423076922
