SegmentIndex,StraightLineDistance,HeadingProxyDeg,TimeTranslating,TimeRotating,TimeConverging,TimeReplanning,ModelTranslation,ModelRotation,ModelFixedOverhead,MeasuredOverhead
S1,9.838000000000001,0.0,37.9995,2.57775,3.901625,0.0,47.83768273968001,0.0,-1.5709490233623882,3.901625
S10,4.0,21.8,13.89375,0.0,3.654125,0.0,19.450165781532835,0.8221475859344928,-1.5709490233623882,3.654125
S2,4.7,92.91250000000001,16.44725,1.698125,4.011375,0.0,22.853944793301082,3.5040269531256225,-1.5709490233623882,4.011375
S3,2.417,155.6,7.655375,3.1,4.8100000000000005,0.0,11.752762673491215,5.86817267758748,-1.5709490233623882,4.8100000000000005
S4,5.852,85.5,22.699875,3.992625,3.766125,0.0,28.45559253838254,3.2244779173118867,-1.5709490233623882,3.766125
S5,2.5,20.0,7.40425,0.0,3.81175,0.0,12.156353613458021,0.7542638403068741,-1.5709490233623882,3.81175
S6,9.849,156.0,44.898875000000004,3.3325,4.713125,0.0,47.89117069557923,5.883257954393618,-1.5709490233623882,4.713125
S7,4.0,114.0,13.381499999999999,3.856875,3.968125,0.0,19.450165781532835,4.299303889749182,-1.5709490233623882,3.968125
S8,2.236,153.4,7.76975,3.09275,4.766249999999999,0.0,10.872642671876855,5.785203655153724,-1.5709490233623882,4.766249999999999
S9,5.385,41.6,26.22675,0.951625,4.111375,0.4125,26.18478568338858,1.568868787838298,-1.5709490233623882,4.523874999999999
