SegmentIndex,StraightLineDistance,HeadingProxyDeg,TimeTranslating,TimeRotating,TimeConverging,TimeReplanning,ModelTranslation,ModelRotation,ModelFixedOverhead,MeasuredOverhead
S1,7.929538461538462,0.0,33.749,1.0300769230769231,4.120461538461539,0.006692307692307692,31.11661645906797,-0.0,9.861015731976027,4.127153846153846
S10,5.0,129.1,26.319384615384614,4.778615384615384,3.7079230769230773,0.06284615384615386,19.620698360942708,-2.8520383663922857,9.861015731976027,3.7707692307692313
S2,4.0,120.86923076923077,12.055,3.7112307692307693,3.4823846153846154,0.00046153846153846153,15.696558688754166,-2.6702066883824096,9.861015731976027,3.482846153846154
S3,4.2,180.0,12.043230769230771,3.5656923076923075,3.6024615384615384,0.0016923076923076922,16.481386623191874,-3.9765058555430786,9.861015731976027,3.6041538461538463
S4,2.417,155.6,7.391230769230769,2.6924615384615387,4.6991538461538465,0.00015384615384615385,9.484645587679704,-3.4374683951250167,9.861015731976027,4.699307692307692
S5,2.693,46.2,8.032384615384615,0.8424615384615385,4.582,0.00023076923076923076,10.567708137203743,-1.0206365029227236,9.861015731976027,4.582230769230769
S6,6.021,116.6,19.833538461538463,2.3402307692307693,3.609692307692308,0.0033846153846153844,23.627244966247208,-2.575892126424016,9.861015731976027,3.6130769230769233
S7,4.031,78.1,31.475923076923078,0.973,4.358,0.007076923076923077,15.818207018592009,-1.7253617073217467,9.861015731976027,4.365076923076923
S8,5.3149999999999995,131.7,20.852769230769233,2.950076923076923,4.406230769230769,0.0033076923076923075,20.856802357682096,-2.9094767843056855,9.861015731976027,4.409538461538461
S9,4.123,152.9,13.628307692307693,3.777230769230769,4.815615384615385,0.002230769230769231,16.179227868433358,-3.3778208072918705,9.861015731976027,4.817846153846154
