SegmentIndex,n,StraightLineDistance,PlannedPathLengthM,ExecutedPathLength_mean,ExecutedPathLength_sd,HeadingProxyDeg,IntegratedAbsYawDeg_mean,IntegratedAbsYawDeg_sd,MinClearanceRadius,TotalSegmentTime_mean,TotalSegmentTime_sd,TimeRotating_mean,TimeTranslating_mean,TimeConverging_mean,TimeReplanning_mean
S1,13,7.929538461538462,9.732307692307693,9.543076923076923,1.3994131187476682,0.0,262.4384615384615,155.75141806985008,2.3076923076923075,38.90623076923077,5.314645976824267,1.0300769230769231,33.749,4.120461538461539,0.006692307692307692
S2,13,4.0,3.770769230769231,3.8623846153846153,0.23402939219306712,120.86923076923077,520.7923076923078,411.10198949802077,2.5384615384615383,19.249076923076924,1.0324394624333877,3.7112307692307693,12.055,3.4823846153846154,0.00046153846153846153
S3,13,4.2,4.076923076923077,4.072923076923077,0.22789049327051156,180.0,193.1076923076923,2.4336055344767558,3.0,19.213076923076922,0.9914532651230094,3.5656923076923075,12.043230769230771,3.6024615384615384,0.0016923076923076922
S4,13,2.417,2.293846153846154,2.5267692307692307,0.16616465420688106,155.6,296.3769230769231,267.9407277547473,1.3846153846153846,14.783,0.9103879209802089,2.6924615384615387,7.391230769230769,4.6991538461538465,0.00015384615384615385
S5,13,2.693,3.1630769230769236,2.8652307692307692,0.07938319915254313,46.2,201.8,175.2607676197576,0.0,13.457076923076924,0.5980787937970579,0.8424615384615385,8.032384615384615,4.582,0.00023076923076923076
S6,13,6.021,6.126153846153846,6.030076923076924,0.13368274729028012,116.6,149.72307692307692,25.113414537724445,3.0,25.786846153846152,0.9326541736851386,2.3402307692307693,19.833538461538463,3.609692307692308,0.0033846153846153844
S7,13,4.031,9.321538461538461,8.932076923076924,0.084133288634228,78.1,207.94615384615386,14.197218940377926,2.3076923076923075,36.814,0.8419281442023422,0.973,31.475923076923078,4.358,0.007076923076923077
S8,13,5.3149999999999995,5.7092307692307696,5.891307692307692,0.27291035909720257,131.7,321.45384615384614,134.23789588751637,0.0,28.212384615384618,1.3602267910451271,2.950076923076923,20.852769230769233,4.406230769230769,0.0033076923076923075
S9,13,4.123,4.286153846153846,4.220230769230769,0.21224402380520796,152.9,269.1769230769231,28.094903269874248,0.46153846153846156,22.223384615384614,1.7245895907172386,3.777230769230769,13.628307692307693,4.815615384615385,0.002230769230769231
S10,13,5.0,7.223076923076923,7.216153846153846,0.2475957209356435,129.1,476.6076923076923,242.78000831184067,1.6153846153846154,34.86876923076923,1.2995075447931639,4.778615384615384,26.319384615384614,3.7079230769230773,0.06284615384615386
