Metric,Manhattan,Octile
N_executions,10.0,10.0
StraightLineTotal_m,50.894,50.898
PlannedPathTotal_m_mean,54.556,53.775999999999996
PlannedPathTotal_m_sd,0.23070905198250735,0.7949730952819879
ExecutedPathTotal_m_mean,53.614999999999995,51.0832
ExecutedPathTotal_m_sd,1.145011208096527,0.8264460458291666
MissionDuration_s_mean,262.41179999999997,269.6963
MissionDuration_s_sd,14.172105072210615,22.59405451809539
alpha_s,-1.4002322229680289,-2.013379163262318
beta_s_per_m,4.854900759853486,5.183188434305123
gamma_s_per_deg,0.03567280732127452,0.032241785164695946
R2_raw,0.9482826014658303,0.9269096995591034
