Execution,Segment,StraightLineDistance_m,HeadingProxy_deg,ExecutedPathLength_m,IntegratedAbsYaw_deg,PlannedPathLength_m,MinClearanceRadius_cells,TimeRotating_s,TimeTranslating_s,TimeConverging_s,TimeReplanning_s,TotalSegmentTime_s
8,S1,9.689,0.0,10.007,224.8,9.82,0,3.272,42.253,2.816,0.045,48.386
8,S2,4.7,92.1,4.227,278.1,4.62,3,6.369,15.738,4.081,0.014,26.202
8,S3,2.417,155.6,1.843,203.5,2.12,3,4.176,5.827,4.234,0.002,14.239
8,S4,5.852,85.5,5.803,212.1,6.18,0,3.66,23.944,3.932,0.019,31.555
8,S5,2.5,20.0,2.31,29.6,2.64,4,0.0,7.824,2.789,0.006,10.619
8,S6,9.849,156.0,10.318,413.3,11.0,0,6.953,37.042,4.604,6.463,55.062
8,S7,4.0,114.0,3.668,202.1,3.88,3,3.384,13.396,4.155,0.007,20.942
8,S8,2.236,153.4,1.889,204.6,2.16,3,3.964,5.769,3.721,0.002,13.456
8,S9,5.385,41.6,6.39,507.4,7.0,0,1.496,27.442,3.868,0.018,32.824
8,S10,4.0,21.8,4.014,40.9,4.3,3,0.0,17.392,4.063,0.013,21.468
9,S1,9.682,0.0,10.058,225.2,9.82,0,3.948,43.133,3.951,0.042,51.074
9,S2,4.7,92.3,4.467,286.8,4.62,3,5.206,17.618,5.097,0.013,27.934
9,S3,2.417,155.6,2.476,206.2,2.36,3,3.406,10.082,3.393,0.004,16.885
9,S4,5.852,85.5,5.631,372.9,6.18,0,6.525,23.684,3.214,0.022,33.445
9,S5,2.5,20.0,2.465,69.7,2.82,4,0.323,7.873,5.727,0.002,13.925
9,S6,9.849,156.0,10.45,745.0,11.1,0,15.278,45.793,3.093,1.798,65.962
9,S7,4.0,114.0,4.028,195.4,3.78,0,3.484,15.381,4.075,0.007,22.947
9,S8,2.236,153.4,2.377,197.2,2.06,3,3.349,7.884,6.588,0.004,17.825
9,S9,5.385,41.6,6.466,158.7,6.84,0,1.863,30.017,3.955,0.022,35.857
9,S10,4.0,21.8,4.029,45.2,4.14,0,0.0,15.904,6.09,0.01,22.004
