SegmentIndex,StraightLineDistance,HeadingProxyDeg,TimeTranslating,TimeRotating,TimeConverging,TimeReplanning,ModelTranslation,ModelRotation,ModelFixedOverhead,MeasuredOverhead
S1,9.826833333333333,0.0,37.65325,2.769166666666667,3.924666666666667,0.0,47.2079480427608,0.0,-1.3567292857696387,3.924666666666667
S10,4.0,21.8,13.882583333333335,0.0,3.7545,0.0,19.215935160975206,0.7784928457134522,-1.3567292857696387,3.7545
S2,4.7,92.91666666666667,16.199166666666667,1.6245,3.8707499999999997,0.0,22.578723814145867,3.31811744254778,-1.3567292857696387,3.8707499999999997
S3,2.417,155.6,7.537833333333334,3.1815833333333337,4.859333333333333,0.0,11.611228821019267,5.556581962982255,-1.3567292857696387,4.859333333333333
S4,5.852,85.5,22.782750000000004,3.954,3.861333333333333,0.0,28.112913140506727,3.053263225160558,-1.3567292857696387,3.861333333333333
S5,2.5,20.0,7.166083333333333,0.0,3.9198333333333335,0.0,12.009959475609504,0.7142136199205984,-1.3567292857696387,3.9198333333333335
S6,9.849,156.0,43.913250000000005,3.266833333333333,4.881916666666666,0.0,47.3144363501112,5.5708662353806675,-1.3567292857696387,4.881916666666666
S7,4.0,114.0,12.855083333333333,3.749166666666667,3.8794166666666663,0.0,19.215935160975206,4.071017633547411,-1.3567292857696387,3.8794166666666663
S8,2.236,153.4,7.700166666666667,3.2585,4.737416666666666,0.0,10.741707754985141,5.47801846479099,-1.3567292857696387,4.737416666666666
S9,5.385000000000001,41.6,25.926333333333332,0.96975,3.9829166666666667,0.27499999999999997,25.869452710462873,1.4855643294348446,-1.3567292857696387,4.257916666666667
